Expedition,Site,Hole,Core,Type,Section,A/W,Offset (mm),Depth,CSF-B (m),Test No.,TextID,Voltage (kV),Tube Current (mA),Live Time (s),Real Time (s),Down-Core Slit (mm),Cross-Core Slit (mm),Filter,Total Counts Per Second,Ca,Fe,Ni,As,Br,Rb,Sr,Y,Zr,Nb,Mo,Ag,Ba,Instrument,Scan Number,Date of Measure,Time of Measure,Uploaded By,Date Uploaded,Comment
382,U1537,A,2,H,3,A,30,5.53,5.462,44592462,SHLF9921861,50,0.75,10,15,10,12,Cu,97882,770,9890,4622,91,1488,563,1443,184,1508,73,37,281452,6491,XRF1,1,10/2/2019,15:37:58,LEVAY_B,11/1/2019 21:35,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,3,A,40,5.54,5.472,44592462,SHLF9921861,50,0.75,10,15,10,12,Cu,99741,716,10020,4750,82,1568,553,1452,177,1594,73,123,276745,6677,XRF1,1,10/2/2019,15:38:22,LEVAY_B,11/1/2019 21:35,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,3,A,50,5.55,5.482,44592462,SHLF9921861,50,0.75,10,15,10,12,Cu,99056,865,10254,5049,67,1510,698,1485,117,1529,115,72,273858,6820,XRF1,1,10/2/2019,15:38:46,LEVAY_B,11/1/2019 21:35,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,3,A,60,5.56,5.492,44592462,SHLF9921861,50,0.75,10,15,10,12,Cu,98996,815,9030,4959,100,1597,660,1401,210,1619,135,114,274003,6697,XRF1,1,10/2/2019,15:39:10,LEVAY_B,11/1/2019 21:35,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,3,A,70,5.57,5.502,44592462,SHLF9921861,50,0.75,10,15,10,12,Cu,98100,810,8035,5034,85,1646,676,1466,209,1507,102,137,272025,6255,XRF1,1,10/2/2019,15:39:34,LEVAY_B,11/1/2019 21:35,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,3,A,80,5.58,5.512,44592462,SHLF9921861,50,0.75,10,15,10,12,Cu,98373,704,8200,4965,99,1525,609,1484,229,1517,112,113,273320,6625,XRF1,1,10/2/2019,15:39:58,LEVAY_B,11/1/2019 21:35,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,3,A,90,5.59,5.522,44592462,SHLF9921861,50,0.75,10,15,10,12,Cu,98746,837,6721,4861,108,1638,654,1370,80,1420,168,120,272133,6101,XRF1,1,10/2/2019,15:40:20,LEVAY_B,11/1/2019 21:35,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,3,A,100,5.6,5.532,44592462,SHLF9921861,50,0.75,10,15,10,12,Cu,97903,762,6266,4933,90,1731,542,1336,163,1346,59,32,272359,5878,XRF1,1,10/2/2019,15:40:44,LEVAY_B,11/1/2019 21:35,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,3,A,110,5.61,5.542,44592462,SHLF9921861,50,0.75,10,15,10,12,Cu,99145,811,7717,4953,56,1560,625,1494,235,1586,126,66,273336,6267,XRF1,1,10/2/2019,15:41:10,LEVAY_B,11/1/2019 21:35,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,3,A,120,5.62,5.552,44592462,SHLF9921861,50,0.75,10,15,10,12,Cu,98922,795,8508,4817,37,1559,632,1513,196,1563,89,110,273855,6551,XRF1,1,10/2/2019,15:41:34,LEVAY_B,11/1/2019 21:35,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,3,A,130,5.63,5.562,44592462,SHLF9921861,50,0.75,10,15,10,12,Cu,99294,785,8071,4957,61,1621,584,1377,195,1412,49,59,274141,6029,XRF1,1,10/2/2019,15:41:58,LEVAY_B,11/1/2019 21:35,~1mm accessory; with film; XRF 1
382,U1537,A,2,H,3,A,140,5.64,5.572,44592462,SHLF9921861,50,0.75,10,15,10,12,Cu,99166,851,6750,4811,97,1675,598,1272,187,1402,132,57,274529,5479,XRF1,1,10/2/2019,15:42:22,LEVAY_B,11/1/2019 21:35,~1mm accessory; with film; XRF 1
